P,Player,Week,Team,Opp,Opp Rank,Opp Position Rank,FDSal,DKSal,FD Points,DK Points
RB,Dalvin Cook,8,MIN,GB,31,9200,7500,47.6,51.6,
WR,Tyler Lockett,7,SEA,ARI,7,7400,6600,45.5,56,
RB,Aaron Jones,2,GB,DET,6,7700,7100,43.6,48.6,
RB,Derrick Henry,6,TEN,HOU,28,9000,7300,39.4,43.4,
WR,Chase Claypool,5,PIT,PHI,19,4900,4100,39.1,45.6,
RB,Joe Mixon,4,CIN,JAX,17,6800,5800,39.1,45.1,
RB,Alvin Kamara,3,NO,GB,23,8600,7900,38.2,47.7,
WR,Davante Adams,7,GB,HOU,25,8900,7900,38.1,47.6,
WR,Odell Beckham Jr.,4,CLE,DAL,31,6600,5800,35.9,38.4,
WR,Justin Jefferson,6,MIN,ATL,26,5900,6000,35.1,42.6,
WR,Davante Adams,1,GB,MIN,24,8000,7300,34.6,44.6,
WR,DK Metcalf,8,SEA,SF,6,7800,7500,34.1,43.1,
RB,Josh Jacobs,1,LV,CAR,32,8200,6800,33.9,35.9,
RB,Alvin Kamara,2,NO,LV,26,8500,7800,33.9,38.4,
TE,George Kittle,4,SF,PHI,24,7500,6300,32.6,43.1,
WR,Tyler Lockett,3,SEA,DAL,28,6800,6400,32.5,40,
RB,Rex Burkhead,3,NE,LV,29,4800,4000,31.3,34.8,
RB,Jeff Wilson Jr.,7,SF,NE,5,5100,4000,31,35,
TE,Robert Tonyan,4,GB,ATL,31,5100,3400,30.8,33.8,
WR,Julio Jones,6,ATL,MIN,29,8200,6700,29.7,36.7,
RB,James Robinson,7,JAX,LAC,7,6400,6200,29.7,34.7,
WR,Calvin Ridley,1,ATL,SEA,15,6600,6100,29.4,36.9,
RB,Kenyan Drake,6,ARI,DAL,22,6100,5300,28.4,31.4,
WR,Adam Thielen,1,MIN,GB,11,6800,6700,28,34,
RB,James Robinson,3,JAX,MIA,9,6400,5400,27.9,30.9,
RB,Dalvin Cook,4,MIN,HOU,29,8700,7600,27.6,31.6,
WR,Amari Cooper,4,DAL,CLE,28,7100,6700,27.4,36.4,
WR,Justin Jefferson,3,MIN,TEN,18,4900,4200,27,33.5,
RB,Christian McCaffrey,1,CAR,LV,19,10000,10000,26.9,28.4,
WR,Davante Adams,8,GB,MIN,31,9100,8800,26.8,30.3,
WR,Calvin Ridley,2,ATL,DAL,19,7100,6800,26.4,32.9,
RB,Ezekiel Elliott,1,DAL,LAR,17,8700,8000,26.2,27.7,
WR,Travis Fulgham,5,PHI,PIT,27,4500,3000,26.2,34.2,
WR,Brandin Cooks,5,HOU,JAX,10,5200,4100,26.1,33.1,
RB,Derrick Henry,3,TEN,MIN,22,8200,7800,26,30,
TE,Tyler Higbee,2,LAR,PHI,22,5800,4700,25.9,28.4,
RB,Nick Chubb,2,CLE,CIN,18,7200,6200,25.8,29.3,
RB,Austin Ekeler,3,LAC,CAR,32,7500,6800,25.8,31.3,
RB,D'Andre Swift,6,DET,JAX,24,5400,4500,25.8,30.3,
RB,Leonard Fournette,2,TB,CAR,31,6000,4800,25.6,30.6,
WR,DJ Chark Jr.,4,JAX,CIN,3,6800,6000,25.5,29.5,
WR,Mike Williams,5,LAC,NO,9,5600,3700,25.4,30.9,
RB,Mike Davis,5,CAR,ATL,19,6800,6400,25.4,29.9,
WR,Stefon Diggs,2,BUF,MIA,2,6800,6500,25.3,32.3,
WR,Darius Slayton,1,NYG,PIT,6,5300,4700,25.2,31.2,
WR,Cedrick Wilson,3,DAL,SEA,32,4500,3000,25.2,30.7,
RB,Ronald Jones II,6,TB,GB,31,5800,6000,25.1,29.1,
RB,Dalvin Cook,3,MIN,TEN,19,8600,7600,24.9,29.9,
WR,Robert Woods,8,LAR,MIA,15,7000,6300,24.9,28.4,
WR,Adam Thielen,5,MIN,SEA,32,7300,7000,24.8,29.3,
RB,Melvin Gordon III,4,DEN,NYJ,26,7100,6900,24.8,28.8,
RB,Malcolm Brown,1,LAR,DAL,12,5000,4500,24.5,26,
WR,Diontae Johnson,7,PIT,TEN,27,5800,4200,24.5,29,
WR,A.J. Brown,7,TEN,PIT,26,6800,6300,24.3,30.3,
WR,DK Metcalf,5,SEA,MIN,29,6700,7100,24.3,27.3,
WR,Tyreek Hill,8,KC,NYJ,11,8100,6700,23.8,25.8,
WR,Keenan Allen,3,LAC,CAR,11,7100,6100,23.7,34.2,
RB,Nick Chubb,3,CLE,WAS,3,7800,6900,23.5,27,
RB,Chris Carson,4,SEA,MIA,19,7900,6300,23.5,25,
WR,Allen Lazard,3,GB,NO,11,5600,4800,23.4,29.4,
RB,Nyheim Hines,1,IND,JAX,31,4900,4000,23.3,27.3,
WR,Allen Robinson II,3,CHI,ATL,30,6900,6200,23.3,31.3,
WR,D.J. Moore,7,CAR,NO,19,6600,5600,23.3,25.3,
RB,Raheem Mostert,1,SF,ARI,21,6200,5800,23.1,25.1,
RB,Kareem Hunt,2,CLE,CIN,18,5800,5600,23.1,24.1,
TE,Mike Gesicki,2,MIA,BUF,3,5200,4000,23,30,
RB,Ezekiel Elliott,5,DAL,NYG,18,9000,7800,23,23.5,
RB,Todd Gurley II,5,ATL,CAR,28,6700,5700,23,28,
RB,James Conner,3,PIT,HOU,28,7100,6700,22.9,27.9,
RB,Miles Sanders,5,PHI,PIT,2,7500,6500,22.9,23.9,
RB,Christian McCaffrey,2,CAR,TB,22,10500,10000,22.8,24.8,
WR,Michael Gallup,3,DAL,SEA,32,5700,5500,22.8,28.8,
WR,Corey Davis,8,TEN,CIN,18,5400,5100,22.8,29.8,
WR,CeeDee Lamb,4,DAL,CLE,28,5600,5400,22.7,25.2,
WR,Robby Anderson,1,CAR,LV,23,5600,4700,22.5,28.5,
TE,Jonnu Smith,2,TEN,JAX,19,4900,4200,22.4,24.4,
TE,Darren Waller,2,LV,NO,25,6800,5400,22.3,31.3,
WR,Tyler Boyd,7,CIN,CLE,29,6000,5400,22.24,30.74,
WR,Adam Thielen,4,MIN,HOU,11,7100,6600,22.2,29.2,
WR,DeAndre Hopkins,1,ARI,SF,14,7800,6800,22.1,32.1,
WR,DeAndre Hopkins,5,ARI,NYJ,13,8700,7900,22.1,28.1,
WR,Terry McLaurin,2,WAS,ARI,1,6500,5900,22,28.5,
WR,JuJu Smith-Schuster,1,PIT,NYG,28,7100,6400,21.9,24.9,
WR,Julian Edelman,2,NE,SEA,31,6600,6200,21.9,28.9,
WR,Mike Evans,4,TB,LAC,9,7400,6400,21.7,28.2,
RB,Chris Carson,1,SEA,ATL,11,7200,6200,21.6,24.6,
WR,Jamison Crowder,5,NYJ,ARI,4,6300,5800,21.6,28.6,
WR,Christian Kirk,6,ARI,DAL,30,5600,4700,21.6,22.6,
RB,Josh Jacobs,5,LV,KC,17,8200,6300,21.5,22.5,
RB,Dalvin Cook,1,MIN,GB,23,8700,7900,21.3,21.8,
WR,Will Fuller V,6,HOU,TEN,22,6700,6800,21.3,27.3,
TE,Anthony Firkser,6,TEN,HOU,15,4400,2500,21.3,28.3,
RB,Giovani Bernard,8,CIN,TEN,22,5900,5800,21.3,22.8,
RB,Todd Gurley II,7,ATL,DET,29,6600,6000,21.2,22.2,
RB,Alvin Kamara,1,NO,TB,2,8300,7200,21.2,23.7,
WR,Cooper Kupp,3,LAR,BUF,17,7100,6300,21.2,28.7,
WR,Jamison Crowder,1,NYJ,BUF,2,6000,5200,21,27.5,
TE,Jimmy Graham,3,CHI,ATL,25,5100,3400,21,24,
TE,Travis Kelce,8,KC,NYJ,21,7900,6600,20.9,27.9,
RB,Alvin Kamara,8,NO,CHI,14,9000,8200,20.8,25.3,
TE,Travis Kelce,5,KC,LV,4,7800,6400,20.8,27.8,
RB,Latavius Murray,4,NO,DET,27,4900,4900,20.8,21.3,
RB,Antonio Gibson,4,WAS,BAL,5,5500,4500,20.8,22.8,
TE,Jordan Reed,2,SF,NYJ,9,4800,2600,20.5,24,
RB,Jeff Wilson Jr.,3,SF,NYG,11,5200,4000,20.4,21.9,
TE,George Kittle,6,SF,LAR,15,6900,6800,20.4,26.9,
TE,Mark Andrews,1,BAL,CLE,29,7400,6000,20.3,22.8,
RB,Darrell Henderson Jr.,5,LAR,WAS,12,6000,5300,20.3,21.8,
WR,Tim Patrick,4,DEN,NYJ,7,5300,3700,20.3,26.3,
RB,DeeJay Dallas,8,SEA,SF,1,4600,4000,20.3,22.8,
WR,Julio Jones,1,ATL,SEA,15,8200,7700,20.2,27.7,
RB,David Montgomery,2,CHI,NYG,8,5600,5600,20.2,21.7,
TE,Dallas Goedert,1,PHI,WAS,28,5200,4100,20.1,27.1,
WR,A.J. Brown,6,TEN,HOU,18,6500,5600,20.1,22.6,
RB,Zack Moss,8,BUF,NE,23,5400,4400,20.1,20.1,
WR,Scotty Miller,7,TB,LV,20,5200,3700,19.9,25.9,
WR,Mike Evans,2,TB,CAR,13,7400,6400,19.9,26.4,
TE,Trey Burton,6,IND,CIN,17,4700,3100,19.9,21.9,
RB,Clyde Edwards-Helaire,1,KC,HOU,26,7200,7000,19.8,22.8,
WR,Will Fuller V,4,HOU,MIN,29,6100,5900,19.8,25.8,
RB,Jordan Wilkins,8,IND,DET,29,4600,4000,19.8,20.3,
RB,Nyheim Hines,8,IND,DET,29,4900,4000,19.7,21.2,
TE,Harrison Bryant,7,CLE,CIN,24,4400,2500,19.6,21.6,
RB,Mike Davis,4,CAR,ARI,22,6300,5700,19.6,22.1,
RB,Aaron Jones,4,GB,ATL,13,8400,7500,19.6,22.1,
WR,Allen Robinson II,4,CHI,IND,10,7600,6700,19.6,26.1,
RB,James Robinson,2,JAX,TEN,15,5300,4400,19.5,24,
TE,Travis Kelce,2,KC,LAC,16,7800,7000,19.5,24,
RB,Alvin Kamara,4,NO,DET,27,8800,8000,19.4,20.9,
WR,Tre'Quan Smith,4,NO,DET,24,5300,5000,19.4,21.4,
RB,Jamaal Williams,7,GB,HOU,32,5000,4000,19.4,21.4,
WR,Curtis Samuel,8,CAR,ATL,28,5400,4000,19.4,21.4,
WR,Chris Godwin,7,TB,LV,20,7400,6300,19.3,23.8,
WR,DeAndre Hopkins,7,ARI,SEA,32,9000,8200,19.3,28.3,
WR,Tyreek Hill,2,KC,LAC,5,8000,7500,19.3,21.8,
RB,Ezekiel Elliott,2,DAL,ATL,25,8600,8200,19.2,23.2,
WR,Diontae Johnson,2,PIT,DEN,15,5800,4500,19.2,23.2,
TE,Mark Andrews,4,BAL,WAS,27,7400,6000,19.2,20.7,
RB,Jerick McKinnon,4,SF,PHI,14,6000,5700,19.2,22.7,
WR,Nelson Agholor,7,LV,TB,5,4900,3900,19.2,24.7,
WR,Mecole Hardman,8,KC,NYJ,11,5400,4700,19.1,22.6,
WR,Brandon Aiyuk,8,SF,SEA,32,5900,5800,19.1,23.1,
RB,Darrell Henderson Jr.,2,LAR,PHI,17,4900,4600,19.1,20.1,
RB,James Conner,2,PIT,DEN,9,6900,6800,19.1,23.1,
RB,Mike Davis,3,CAR,LAC,1,6000,5100,19.1,23.1,
RB,Kareem Hunt,4,CLE,DAL,9,5900,6200,19.1,19.1,
TE,Travis Kelce,6,KC,BUF,30,7900,7200,19,22.5,
WR,Robert Woods,3,LAR,BUF,17,6600,6100,18.9,21.4,
RB,Clyde Edwards-Helaire,6,KC,BUF,14,7400,6700,18.9,23.9,
RB,Derrick Henry,5,TEN,BUF,11,8600,6800,18.8,19.3,
WR,Henry Ruggs III,5,LV,KC,1,5300,4700,18.8,22.8,
RB,Todd Gurley II,4,ATL,GB,30,6600,5500,18.8,19.3,
RB,Antonio Gibson,7,WAS,DAL,25,5700,5000,18.8,21.8,
RB,Alvin Kamara,7,NO,CAR,27,9300,7900,18.8,22.8,
WR,Tyreek Hill,3,KC,BAL,1,8100,7100,18.7,21.2,
WR,DeAndre Hopkins,3,ARI,DET,21,8500,7900,18.7,26.7,
RB,Miles Sanders,2,PHI,LAR,26,6800,6000,18.6,21.1,
WR,Brandon Aiyuk,3,SF,NYG,24,4800,4100,18.6,21.1,
WR,Preston Williams,5,MIA,SF,5,5100,4100,18.6,23.6,
RB,Darrell Henderson Jr.,3,LAR,BUF,10,5800,5400,18.5,22,
WR,Tee Higgins,3,CIN,PHI,9,4700,3900,18.5,21,
TE,Jonnu Smith,5,TEN,BUF,27,5800,5100,18.5,21,
WR,Terry McLaurin,7,WAS,DAL,30,7100,5800,18.5,22,
WR,Mike Williams,8,LAC,DEN,13,5900,4400,18.5,21,
RB,David Johnson,1,HOU,KC,27,6300,6000,18.4,19.9,
RB,Chris Carson,2,SEA,NE,14,7300,6400,18.3,19.8,
WR,Emmanuel Sanders,5,NO,LAC,14,5800,4800,18.2,27.2,
WR,Christian Kirk,7,ARI,SEA,32,5400,4900,18.2,20.7,
RB,Giovani Bernard,7,CIN,CLE,15,4800,4500,18.1,20.6,
WR,Andy Isabella,3,ARI,DET,21,4500,3800,18.1,20.1,
WR,Sammy Watkins,1,KC,HOU,20,5400,4600,18,21.5,
