"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Dalvin Cook",MIN,"at CHI","2 out of 5 stars","A+","19.5"
"2","Aaron Jones",GB,"vs. JAC","5 out of 5 stars","A+","19.4"
"3","Alvin Kamara",NO,"vs. SF","1 out of 5 stars","A+","18.7"
"4","James Robinson",JAC,"at GB","5 out of 5 stars","A","15.8"
"5","Derrick Henry",TEN,"vs. IND","1 out of 5 stars","A","15.4"
"6","Josh Jacobs",LV,"vs. DEN","1 out of 5 stars","A","15.3"
"7","Nick Chubb",CLE,"vs. HOU","5 out of 5 stars","A","15.0"
"8","James Conner",PIT,"vs. CIN","3 out of 5 stars","A","14.8"
"9","Miles Sanders",PHI,"at NYG","4 out of 5 stars","A","14.1"
"10","Chase Edmonds",ARI,"vs. BUF","5 out of 5 stars","A-","14.1"
"11","Mike Davis",CAR,"vs. TB","2 out of 5 stars","A-","13.4"
"12","Kareem Hunt",CLE,"vs. HOU","5 out of 5 stars","A-","13.3"
"13","Antonio Gibson",WAS,"at DET","5 out of 5 stars","B+","13.0"
"14","D'Andre Swift",DET,"vs. WAS","2 out of 5 stars","B+","12.5"
"15","Leonard Fournette",TB,"at CAR","4 out of 5 stars","B","11.0"
"16","David Montgomery",CHI,"vs. MIN","3 out of 5 stars","B","10.9"
"17","Melvin Gordon III",DEN,"at LV","4 out of 5 stars","B","10.8"
"18","Darrell Henderson",LAR,"vs. SEA","2 out of 5 stars","B","10.5"
"19","Jerick McKinnon",SF,"at NO","1 out of 5 stars","B","10.1"
"20","Zack Moss",BUF,"at ARI","2 out of 5 stars","B-","9.9"
"21","Jonathan Taylor",IND,"at TEN","5 out of 5 stars","B-","9.4"
"22","Duke Johnson Jr.",HOU,"at CLE","3 out of 5 stars","B-","9.2"
"23","J.K. Dobbins",BAL,"at NE","4 out of 5 stars","C+","9.1"
"24","Ronald Jones II",TB,"at CAR","4 out of 5 stars","C+","9.0"
"25","J.D. McKissic",WAS,"at DET","5 out of 5 stars","C+","8.9"
"26","Phillip Lindsay",DEN,"at LV","4 out of 5 stars","C+","8.8"
"27","Devin Singletary",BUF,"at ARI","2 out of 5 stars","C","8.6"
"28","Wayne Gallman",NYG,"vs. PHI","2 out of 5 stars","C","8.4"
"29","Chris Carson",SEA,"at LAR","2 out of 5 stars","B-","8.2"
"30","Giovani Bernard",CIN,"at PIT","2 out of 5 stars","C","7.8"
