"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Davante Adams",GB,"vs. JAC","4 out of 5 stars","A+","20.3"
"2","DeAndre Hopkins",ARI,"vs. BUF","2 out of 5 stars","A+","17.1"
"3","Stefon Diggs",BUF,"at ARI","3 out of 5 stars","A+","16.6"
"4","D.K. Metcalf",SEA,"at LAR","1 out of 5 stars","A+","16.2"
"5","Keenan Allen",LAC,"at MIA","3 out of 5 stars","A+","16.0"
"6","Terry McLaurin",WAS,"at DET","3 out of 5 stars","A","15.3"
"7","Allen Robinson II",CHI,"vs. MIN","5 out of 5 stars","A","15.2"
"8","Tyler Lockett",SEA,"at LAR","1 out of 5 stars","A","15.1"
"9","Michael Thomas",NO,"vs. SF","3 out of 5 stars","A","15.0"
"10","A.J. Brown",TEN,"vs. IND","3 out of 5 stars","A","14.5"
"11","Will Fuller V",HOU,"at CLE","5 out of 5 stars","A","14.1"
"12","Robert Woods",LAR,"vs. SEA","5 out of 5 stars","A","14.0"
"13","Cooper Kupp",LAR,"vs. SEA","5 out of 5 stars","A","13.7"
"14","Robby Anderson",CAR,"vs. TB","3 out of 5 stars","A","13.4"
"15","Adam Thielen",MIN,"at CHI","1 out of 5 stars","A","13.2"
"16","Brandin Cooks",HOU,"at CLE","5 out of 5 stars","A-","12.9"
"17","D.J. Chark Jr.",JAC,"at GB","2 out of 5 stars","A-","12.8"
"18","Chase Claypool",PIT,"vs. CIN","5 out of 5 stars","A-","12.7"
"19","Justin Jefferson",MIN,"at CHI","1 out of 5 stars","B+","12.7"
"20","Tyler Boyd",CIN,"at PIT","5 out of 5 stars","A-","12.6"
"21","Chris Godwin",TB,"at CAR","1 out of 5 stars","B+","12.4"
"22","JuJu Smith-Schuster",PIT,"vs. CIN","5 out of 5 stars","B+","12.3"
"23","Diontae Johnson",PIT,"vs. CIN","5 out of 5 stars","B+","12.1"
"24","Mike Evans",TB,"at CAR","1 out of 5 stars","B","12.0"
"25","Travis Fulgham",PHI,"at NYG","4 out of 5 stars","B","12.0"
"26","DeVante Parker",MIA,"vs. LAC","2 out of 5 stars","B","11.8"
"27","Jerry Jeudy",DEN,"at LV","3 out of 5 stars","B","11.8"
"28","D.J. Moore",CAR,"vs. TB","3 out of 5 stars","B","11.8"
"29","Tee Higgins",CIN,"at PIT","5 out of 5 stars","B-","11.8"
"30","Christian Kirk",ARI,"vs. BUF","2 out of 5 stars","B-","11.6"
"31","Jarvis Landry",CLE,"vs. HOU","5 out of 5 stars","B-","11.6"
"32","Mike Williams",LAC,"at MIA","3 out of 5 stars","B-","11.5"
"33","Curtis Samuel",CAR,"vs. TB","3 out of 5 stars","C+","11.3"
"34","Brandon Aiyuk",SF,"at NO","4 out of 5 stars","C+","11.2"
"35","Sterling Shepard",NYG,"vs. PHI","3 out of 5 stars","C+","11.2"
"36","Marquise Brown",BAL,"at NE","3 out of 5 stars","C+","11.0"
"37","Marvin Jones Jr.",DET,"vs. WAS","1 out of 5 stars","C+","10.6"
"38","John Brown",BUF,"at ARI","3 out of 5 stars","C+","10.4"
"39","Antonio Brown",TB,"at CAR","1 out of 5 stars","C+","10.3"
"40","Jakobi Meyers",NE,"vs. BAL","2 out of 5 stars","C+","10.0"
"41","Darius Slayton",NYG,"vs. PHI","3 out of 5 stars","C+","10.0"
"42","Corey Davis",TEN,"vs. IND","3 out of 5 stars","C","10.0"
"43","Tim Patrick",DEN,"at LV","3 out of 5 stars","C","9.6"
"44","Cole Beasley",BUF,"at ARI","3 out of 5 stars","C","9.4"
"45","Darnell Mooney",CHI,"vs. MIN","5 out of 5 stars","C","9.3"
"46","Emmanuel Sanders",NO,"vs. SF","3 out of 5 stars","C","9.3"
"47","Jalen Reagor",PHI,"at NYG","4 out of 5 stars","C","9.3"
"48","Randall Cobb",HOU,"at CLE","5 out of 5 stars","C","9.3"
"49","A.J. Green",CIN,"at PIT","5 out of 5 stars","C","9.3"
"50","Nelson Agholor",LV,"vs. DEN","3 out of 5 stars","C-","9.2"
"51","Rashard Higgins",CLE,"vs. HOU","5 out of 5 stars","C-","9.0"
"52","Anthony Miller",CHI,"vs. MIN","5 out of 5 stars","C-","8.9"
"53","Henry Ruggs III",LV,"vs. DEN","3 out of 5 stars","C-","8.8"
"54","Danny Amendola",DET,"vs. WAS","1 out of 5 stars","C-","8.6"
"55","KJ Hamler",DEN,"at LV","3 out of 5 stars","C-","8.5"
"56","Keelan Cole Sr.",JAC,"at GB","2 out of 5 stars","C-","8.4"
"57","Michael Pittman Jr.",IND,"at TEN","5 out of 5 stars","C-","8.4"
"58","Josh Reynolds",LAR,"vs. SEA","5 out of 5 stars","D+","8.2"
"59","Zach Pascal",IND,"at TEN","5 out of 5 stars","D","8.1"
"60","Richie James Jr.",SF,"at NO","4 out of 5 stars","D+","7.9"
"61","Marquez Valdes-Scantling",GB,"vs. JAC","4 out of 5 stars","D","7.8"
"62","Hunter Renfrow",LV,"vs. DEN","3 out of 5 stars","D","7.7"
"63","Jakeem Grant",MIA,"vs. LAC","2 out of 5 stars","D","7.7"
"64","Larry Fitzgerald",ARI,"vs. BUF","2 out of 5 stars","D-","7.5"
"65","Damiere Byrd",NE,"vs. BAL","2 out of 5 stars","D-","7.3"
"66","T.Y. Hilton",IND,"at TEN","5 out of 5 stars","D","7.2"
"67","Tre'Quan Smith",NO,"vs. SF","3 out of 5 stars","F","7.1"
"68","Allen Lazard",GB,"vs. JAC","4 out of 5 stars","D","7.1"
"69","David Moore",SEA,"at LAR","1 out of 5 stars","F","6.9"
"70","Marcus Johnson",IND,"at TEN","5 out of 5 stars","F","6.8"
"71","Chris Conley",JAC,"at GB","2 out of 5 stars","F","6.7"
"72","Andy Isabella",ARI,"vs. BUF","2 out of 5 stars","F","6.7"
"73","Jalen Guyton",LAC,"at MIA","3 out of 5 stars","F","6.6"
"74","Marvin Hall",DET,"vs. WAS","1 out of 5 stars","F","6.5"
"75","Scotty Miller",TB,"at CAR","1 out of 5 stars","F","6.4"
"76","Gabriel Davis",BUF,"at ARI","3 out of 5 stars","F","6.2"
"77","Steven Sims",WAS,"at DET","3 out of 5 stars","F","6.1"
"78","James Washington",PIT,"vs. CIN","5 out of 5 stars","F","6.0"
"79","Cam Sims",WAS,"at DET","3 out of 5 stars","F","5.8"
"80","Laviska Shenault Jr.",JAC,"at GB","2 out of 5 stars","F","5.8"
"81","Willie Snead IV",BAL,"at NE","3 out of 5 stars","F","5.7"
"82","Greg Ward",PHI,"at NYG","4 out of 5 stars","F","5.6"
"83","Cordarrelle Patterson",CHI,"vs. MIN","5 out of 5 stars","F","5.6"
"84","Alshon Jeffery",PHI,"at NYG","4 out of 5 stars","F","5.6"
"85","Devin Duvernay",BAL,"at NE","3 out of 5 stars","F","5.6"
"86","Golden Tate",NYG,"vs. PHI","3 out of 5 stars","F","5.4"
"87","Austin Mack",NYG,"vs. PHI","3 out of 5 stars","F","5.4"
"88","Deebo Samuel",SF,"at NO","4 out of 5 stars","F","5.4"
"89","Trent Taylor",SF,"at NO","4 out of 5 stars","F","5.4"
"90","Miles Boykin",BAL,"at NE","3 out of 5 stars","F","5.3"
"91","Isaiah Wright",WAS,"at DET","3 out of 5 stars","F","5.2"
"92","Mack Hollins",MIA,"vs. LAC","2 out of 5 stars","F","5.2"
"93","Bryan Edwards",LV,"vs. DEN","3 out of 5 stars","F","5.1"
"94","Quintez Cephus",DET,"vs. WAS","1 out of 5 stars","F","4.9"
"95","KhaDarel Hodge",CLE,"vs. HOU","5 out of 5 stars","F","4.8"
"96","Kalif Raymond",TEN,"vs. IND","3 out of 5 stars","F","4.7"
"97","Kenny Stills",HOU,"at CLE","5 out of 5 stars","F","4.7"
"98","Marquez Callaway",NO,"vs. SF","3 out of 5 stars","F","4.6"
"99","DaeSean Hamilton",DEN,"at LV","3 out of 5 stars","F","4.6"
"100","Dez Bryant",BAL,"at NE","3 out of 5 stars","F","4.4"
"101","N'Keal Harry",NE,"vs. BAL","2 out of 5 stars","F","4.4"
"102","Chad Beebe",MIN,"at CHI","1 out of 5 stars","F","4.2"
"103","Deonte Harris",NO,"vs. SF","3 out of 5 stars","F","4.2"
"104","Isaiah Ford",NE,"vs. BAL","2 out of 5 stars","F","4.2"
"105","River Cracraft",SF,"at NO","4 out of 5 stars","F","4.1"
"106","Collin Johnson",JAC,"at GB","2 out of 5 stars","F","4.1"
"107","Ray-Ray McCloud",PIT,"vs. CIN","5 out of 5 stars","F","4.1"
"108","Isaiah Zuber",NE,"vs. BAL","2 out of 5 stars","F","4.0"
"109","Isaiah McKenzie",BUF,"at ARI","3 out of 5 stars","F","4.0"
"110","Equanimeous St. Brown",GB,"vs. JAC","4 out of 5 stars","F","3.8"
"111","Auden Tate",CIN,"at PIT","5 out of 5 stars","F","3.8"
