"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Patrick Mahomes II",KC,"at DEN","5 out of 5 stars","A+","24.0"
"2","Russell Wilson",SEA,"at ARI","4 out of 5 stars","A+","23.3"
"3","Kyler Murray",ARI,"vs. SEA","5 out of 5 stars","A","22.5"
"4","Josh Allen",BUF,"at NYJ","4 out of 5 stars","A","21.8"
"5","Aaron Rodgers",GB,"at HOU","3 out of 5 stars","A-","21.1"
"6","Deshaun Watson",HOU,"vs. GB","2 out of 5 stars","A-","20.5"
"7","Matt Ryan",ATL,"vs. DET","3 out of 5 stars","B+","20.1"
"8","Matthew Stafford",DET,"at ATL","5 out of 5 stars","B+","19.8"
"9","Justin Herbert",LAC,"vs. JAC","4 out of 5 stars","B","19.6"
"10","Ben Roethlisberger",PIT,"at TEN","5 out of 5 stars","B","19.1"
"11","Cam Newton",NE,"vs. SF","4 out of 5 stars","B","18.7"
"12","Tom Brady",TB,"at LV","3 out of 5 stars","B-","18.3"
"13","Ryan Tannehill",TEN,"vs. PIT","2 out of 5 stars","B-","17.9"
"14","Drew Brees",NO,"vs. CAR","1 out of 5 stars","C+","17.5"
"15","Gardner Minshew II",JAC,"at LAC","5 out of 5 stars","C","17.1"
"16","Joe Burrow",CIN,"vs. CLE","3 out of 5 stars","C","16.8"
"17","Carson Wentz",PHI,"vs. NYG","3 out of 5 stars","C","16.4"
"18","Teddy Bridgewater",CAR,"at NO","5 out of 5 stars","C-","16.0"
"19","Andy Dalton",DAL,"at WAS","4 out of 5 stars","D+","15.7"
"20","Jared Goff",LAR,"vs. CHI","1 out of 5 stars","D","15.6"
"21","Daniel Jones",NYG,"at PHI","5 out of 5 stars","D","15.3"
"22","Derek Carr",LV,"vs. TB","1 out of 5 stars","D","14.9"
"23","Jimmy Garoppolo",SF,"at NE","1 out of 5 stars","D-","14.6"
"24","Baker Mayfield",CLE,"at CIN","4 out of 5 stars","F","14.2"
"25","Kyle Allen",WAS,"vs. DAL","4 out of 5 stars","F","13.8"
"26","Nick Foles",CHI,"at LAR","3 out of 5 stars","F","13.3"
"27","Drew Lock",DEN,"vs. KC","2 out of 5 stars","F","13.0"
"28","Joe Flacco",NYJ,"vs. BUF","5 out of 5 stars","F","12.1"
"29","Jalen Hurts",PHI,"vs. NYG","3 out of 5 stars","F","5.2"
"30","Brett Rypien",DEN,"vs. KC","2 out of 5 stars","F","1.6"
"31","C.J. Beathard",SF,"at NE","1 out of 5 stars","F","1.2"
"32","Jarrett Stidham",NE,"vs. SF","4 out of 5 stars","F","1.0"
"33","Nick Mullens",SF,"at NE","1 out of 5 stars","F","0.9"
"34","Alex Smith",WAS,"vs. DAL","4 out of 5 stars","F","0.9"
