"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Alvin Kamara",NO,"vs. CAR","5 out of 5 stars","A+","20.3"
"2","Aaron Jones",GB,"at HOU","5 out of 5 stars","A+","19.2"
"3","Ezekiel Elliott",DAL,"at WAS","2 out of 5 stars","A","18.4"
"4","Derrick Henry",TEN,"vs. PIT","1 out of 5 stars","A","18.1"
"5","Kareem Hunt",CLE,"at CIN","3 out of 5 stars","A","17.9"
"6","Mike Davis",CAR,"at NO","1 out of 5 stars","A","17.3"
"7","James Conner",PIT,"at TEN","5 out of 5 stars","A","16.8"
"8","Chris Carson",SEA,"at ARI","3 out of 5 stars","A","15.6"
"9","Joe Mixon",CIN,"vs. CLE","3 out of 5 stars","A","15.5"
"10","James Robinson",JAC,"at LAC","1 out of 5 stars","A","15.3"
"11","Todd Gurley II",ATL,"vs. DET","4 out of 5 stars","A-","14.6"
"12","Clyde Edwards-Helaire",KC,"at DEN","1 out of 5 stars","A-","14.4"
"13","Ronald Jones II",TB,"at LV","5 out of 5 stars","A-","14.4"
"14","Josh Jacobs",LV,"vs. TB","1 out of 5 stars","B+","13.9"
"15","David Montgomery",CHI,"at LAR","3 out of 5 stars","B+","13.8"
"16","David Johnson",HOU,"vs. GB","5 out of 5 stars","B","13.6"
"17","Kenyan Drake",ARI,"vs. SEA","2 out of 5 stars","B","13.2"
"18","Antonio Gibson",WAS,"vs. DAL","4 out of 5 stars","B","13.1"
"19","D'Andre Swift",DET,"at ATL","2 out of 5 stars","B","12.6"
"20","Boston Scott",PHI,"vs. NYG","4 out of 5 stars","B-","12.1"
"21","Devin Singletary",BUF,"at NYJ","5 out of 5 stars","B","11.9"
"22","Darrell Henderson",LAR,"vs. CHI","2 out of 5 stars","B-","11.8"
"23","Justin Jackson",LAC,"vs. JAC","5 out of 5 stars","C+","11.3"
"24","Devonta Freeman",NYG,"at PHI","2 out of 5 stars","B-","10.7"
"25","James White",NE,"vs. SF","2 out of 5 stars","C+","10.4"
"26","Jerick McKinnon",SF,"at NE","1 out of 5 stars","C+","9.8"
"27","Phillip Lindsay",DEN,"vs. KC","2 out of 5 stars","C","9.7"
"28","Adrian Peterson",DET,"at ATL","2 out of 5 stars","C","9.1"
"29","Chase Edmonds",ARI,"vs. SEA","2 out of 5 stars","C","9.0"
"30","Melvin Gordon III",DEN,"vs. KC","2 out of 5 stars","C","8.9"
"31","Joshua Kelley",LAC,"vs. JAC","5 out of 5 stars","C","7.9"
