"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Travis Kelce",KC,"at DEN","3 out of 5 stars","A+","14.1"
"2","George Kittle",SF,"at NE","1 out of 5 stars","A","12.8"
"3","Darren Waller",LV,"vs. TB","2 out of 5 stars","A-","11.9"
"4","T.J. Hockenson",DET,"at ATL","5 out of 5 stars","B+","11.1"
"5","Robert Tonyan",GB,"at HOU","4 out of 5 stars","B","9.2"
"6","Hunter Henry",LAC,"vs. JAC","4 out of 5 stars","B","9.2"
"7","Evan Engram",NYG,"at PHI","5 out of 5 stars","B-","9.1"
"8","Rob Gronkowski",TB,"at LV","2 out of 5 stars","B-","8.1"
"9","Dalton Schultz",DAL,"at WAS","4 out of 5 stars","C+","8.0"
"10","Jimmy Graham",CHI,"at LAR","3 out of 5 stars","C+","7.5"
"11","Austin Hooper",CLE,"at CIN","3 out of 5 stars","C","7.2"
"12","Jared Cook",NO,"vs. CAR","2 out of 5 stars","C","7.1"
"13","Eric Ebron",PIT,"at TEN","5 out of 5 stars","C","6.9"
"14","Noah Fant",DEN,"vs. KC","1 out of 5 stars","C-","6.6"
"15","Hayden Hurst",ATL,"vs. DET","1 out of 5 stars","C-","6.4"
"16","Darren Fells",HOU,"vs. GB","2 out of 5 stars","D+","6.1"
"17","Tyler Higbee",LAR,"vs. CHI","4 out of 5 stars","D+","5.9"
"18","Logan Thomas",WAS,"vs. DAL","4 out of 5 stars","D","5.7"
"19","Anthony Firkser",TEN,"vs. PIT","1 out of 5 stars","D-","5.7"
"20","Drew Sample",CIN,"vs. CLE","4 out of 5 stars","D-","5.6"
"21","Gerald Everett",LAR,"vs. CHI","4 out of 5 stars","F","5.6"
"22","Richard Rodgers",PHI,"vs. NYG","2 out of 5 stars","D-","5.0"
"23","Greg Olsen",SEA,"at ARI","4 out of 5 stars","F","4.4"
"24","Jonnu Smith",TEN,"vs. PIT","1 out of 5 stars","D","4.2"
"25","Tyler Eifert",JAC,"at LAC","4 out of 5 stars","F","4.0"
"26","Ian Thomas",CAR,"at NO","5 out of 5 stars","F","4.0"
"27","Chris Herndon IV",NYJ,"vs. BUF","5 out of 5 stars","F","3.7"
"28","Tyler Kroft",BUF,"at NYJ","3 out of 5 stars","F","3.7"
"29","Cameron Brate",TB,"at LV","2 out of 5 stars","F","3.7"
"30","Dan Arnold",ARI,"vs. SEA","1 out of 5 stars","F","3.5"
"31","Dawson Knox",BUF,"at NYJ","3 out of 5 stars","F","3.5"
"32","James O'Shaughnessy",JAC,"at LAC","4 out of 5 stars","F","3.5"
"33","David Njoku",CLE,"at CIN","3 out of 5 stars","F","3.4"
"34","Cole Kmet",CHI,"at LAR","3 out of 5 stars","F","3.3"
"35","Will Dissly",SEA,"at ARI","4 out of 5 stars","F","3.3"
"36","Vance McDonald",PIT,"at TEN","5 out of 5 stars","F","3.3"
"37","Albert Okwuegbunam",DEN,"vs. KC","1 out of 5 stars","F","3.1"
"38","Geoff Swaim",TEN,"vs. PIT","1 out of 5 stars","F","3.0"
"39","Kaden Smith",NYG,"at PHI","5 out of 5 stars","F","3.0"
"40","Darrell Daniels",ARI,"vs. SEA","1 out of 5 stars","F","3.0"
"41","Ryan Griffin",NYJ,"vs. BUF","5 out of 5 stars","F","3.0"
"42","Jordan Akins",HOU,"vs. GB","2 out of 5 stars","F","2.8"
"43","Harrison Bryant",CLE,"at CIN","3 out of 5 stars","F","2.8"
"44","Ryan Izzo",NE,"vs. SF","1 out of 5 stars","F","2.7"
"45","Jesse James",DET,"at ATL","5 out of 5 stars","F","2.6"
"46","Foster Moreau",LV,"vs. TB","2 out of 5 stars","F","2.5"
"47","Tanner Hudson",TB,"at LV","2 out of 5 stars","F","2.5"
"48","Pharaoh Brown",HOU,"vs. GB","2 out of 5 stars","F","2.5"
"49","Jason Witten",LV,"vs. TB","2 out of 5 stars","F","2.5"
"50","Chris Manhertz",CAR,"at NO","5 out of 5 stars","F","2.4"
"51","Jace Sternberger",GB,"at HOU","4 out of 5 stars","F","2.3"
"52","Nick Vannett",DEN,"vs. KC","1 out of 5 stars","F","2.3"
"53","Jason Croom",PHI,"vs. NYG","2 out of 5 stars","F","2.2"
"54","Trevon Wesco",NYJ,"vs. BUF","5 out of 5 stars","F","2.2"
"55","Josh Hill",NO,"vs. CAR","2 out of 5 stars","F","2.1"
"56","Blake Bell",DAL,"at WAS","4 out of 5 stars","F","2.0"
"57","MyCole Pruitt",TEN,"vs. PIT","1 out of 5 stars","F","2.0"
"58","Demetrius Harris",CHI,"at LAR","3 out of 5 stars","F","2.0"
"59","Adam Trautman",NO,"vs. CAR","2 out of 5 stars","F","1.9"
"60","Virgil Green",LAC,"vs. JAC","4 out of 5 stars","F","1.9"
"61","Devin Asiasi",NE,"vs. SF","1 out of 5 stars","F","1.9"
"62","Ross Dwelley",SF,"at NE","1 out of 5 stars","F","1.8"
"63","Jacob Hollister",SEA,"at ARI","4 out of 5 stars","F","1.8"
"64","Marcedes Lewis",GB,"at HOU","4 out of 5 stars","F","1.8"
"65","Jake Butt",DEN,"vs. KC","1 out of 5 stars","F","1.7"
"66","Nick Keizer",KC,"at DEN","3 out of 5 stars","F","1.7"
"67","Ricky Seals-Jones",KC,"at DEN","3 out of 5 stars","F","1.7"
"68","Donald Parham Jr.",LAC,"vs. JAC","4 out of 5 stars","F","1.6"
"69","Tyler Davis",JAC,"at LAC","4 out of 5 stars","F","1.6"
"70","Gabe Nabers",LAC,"vs. JAC","4 out of 5 stars","F","1.6"
"71","Cethan Carter",CIN,"vs. CLE","4 out of 5 stars","F","1.6"
"72","Jeremy Sprinkle",WAS,"vs. DAL","4 out of 5 stars","F","1.6"
"73","Temarrick Hemingway",WAS,"vs. DAL","4 out of 5 stars","F","1.6"
"74","Luke Stocker",ATL,"vs. DET","1 out of 5 stars","F","1.6"
"75","Jaeden Graham",ATL,"vs. DET","1 out of 5 stars","F","1.5"
"76","Johnny Mundt",LAR,"vs. CHI","4 out of 5 stars","F","1.5"
"77","Deon Yelder",KC,"at DEN","3 out of 5 stars","F","1.5"
"78","Sean McKeon",DAL,"at WAS","4 out of 5 stars","F","1.5"
"79","Mason Schreck",CIN,"vs. CLE","4 out of 5 stars","F","1.4"
"80","Lee Smith",BUF,"at NYJ","3 out of 5 stars","F","1.4"
"81","Charlie Woerner",SF,"at NE","1 out of 5 stars","F","1.2"
"82","J.P. Holtz",CHI,"at LAR","3 out of 5 stars","F","1.2"
"83","Andrew Beck",DEN,"vs. KC","1 out of 5 stars","F","1.1"
"84","Derek Carrier",LV,"vs. TB","2 out of 5 stars","F","1.1"
"85","Stephen Carlson",CLE,"at CIN","3 out of 5 stars","F","1.0"
"86","Luke Willson",SEA,"at ARI","4 out of 5 stars","F","1.0"
