Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
51377-55050,RB,Christian,Christian McCaffrey,McCaffrey,12.44999981,4,9500,CAR@KC,CAR,KC,IR,Ankle,
51377-57439,QB,Patrick,Patrick Mahomes,Mahomes,26.01250076,8,9300,CAR@KC,KC,CAR,,,
51377-54140,RB,Dalvin,Dalvin Cook,Cook,25.81666565,6,9300,DET@MIN,MIN,DET,,,
51377-22015,QB,Russell,Russell Wilson,Wilson,30.29142761,7,9000,SEA@BUF,SEA,BUF,,,
51377-39280,RB,Derrick,Derrick Henry,Henry,19.80000087,7,8900,CHI@TEN,TEN,CHI,,,
51377-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,16.41428593,7,8800,MIA@ARI,ARI,MIA,,,
51377-63484,QB,Kyler,Kyler Murray,Murray,28.94000026,7,8600,MIA@ARI,ARI,MIA,,,
51377-53681,WR,Tyreek,Tyreek Hill,Hill,15.57499981,8,8300,CAR@KC,KC,CAR,,,
51377-54879,QB,Deshaun,Deshaun Watson,Watson,22.78571429,7,8300,HOU@JAC,HOU,JAC,,,
51377-40687,RB,James,James Conner,Conner,14.47142901,7,8200,PIT@DAL,PIT,DAL,,,
51377-62239,QB,Josh,Josh Allen,Allen,23.07250023,8,8200,SEA@BUF,BUF,SEA,,,
51377-14190,WR,Julio,Julio Jones,Jones,14.90000025,6,8200,DEN@ATL,ATL,DEN,,,
51377-73048,WR,DK,DK Metcalf,Metcalf,18,7,8100,SEA@BUF,SEA,BUF,,,
51377-63115,QB,Lamar,Lamar Jackson,Jackson,20.68857247,7,8100,BAL@IND,BAL,IND,,,
51377-64555,WR,Calvin,Calvin Ridley,Ridley,15.82499981,8,8000,DEN@ATL,ATL,DEN,Q,Foot,
51377-33076,TE,Travis,Travis Kelce,Kelce,14.875,8,8000,CAR@KC,KC,CAR,,,
51377-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,15.13749981,8,8000,PIT@DAL,DAL,PIT,Q,Hamstring,
51377-69189,QB,Justin,Justin Herbert,Herbert,25.33333333,6,7900,LV@LAC,LAC,LV,,,
51377-30635,RB,Mike,Mike Davis,Davis,14.34285736,7,7800,CAR@KC,CAR,KC,,,
51377-72731,RB,Josh,Josh Jacobs,Jacobs,14.5,7,7700,LV@LAC,LV,LAC,Q,Knee,
51377-6589,QB,Ben,Ben Roethlisberger,Roethlisberger,17.67428589,7,7700,PIT@DAL,PIT,DAL,,,
51377-39716,WR,Adam,Adam Thielen,Thielen,15.31428528,7,7700,DET@MIN,MIN,DET,,,
51377-72846,WR,A.J.,A.J. Brown,Brown,15.81999969,5,7600,CHI@TEN,TEN,CHI,,,
51377-6616,QB,Matt,Matt Ryan,Ryan,19.28499985,8,7600,DEN@ATL,ATL,DEN,,,
51377-25079,WR,Stefon,Stefon Diggs,Diggs,14.3125,8,7600,SEA@BUF,BUF,SEA,,,
51377-64119,RB,Chris,Chris Carson,Carson,15.66666667,6,7600,SEA@BUF,SEA,BUF,O,Foot,
51377-6654,QB,Matthew,Matthew Stafford,Stafford,18.76285662,7,7500,DET@MIN,DET,MIN,IR,Undisclosed,
51377-29253,WR,Keenan,Keenan Allen,Allen,13.90000044,7,7500,LV@LAC,LAC,LV,,,
51377-27050,WR,Tyler,Tyler Lockett,Lockett,17.71428571,7,7400,SEA@BUF,SEA,BUF,,,
51377-21948,QB,Ryan,Ryan Tannehill,Tannehill,22.08857073,7,7400,CHI@TEN,TEN,CHI,,,
51377-130288,RB,James,James Robinson,Robinson,17.15714264,7,7300,HOU@JAC,JAC,HOU,,,
51377-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,17.04249954,8,7300,CAR@KC,CAR,KC,,,
51377-54244,WR,Kenny,Kenny Golladay,Golladay,11.15999985,5,7300,DET@MIN,DET,MIN,O,Hip,
51377-64051,QB,Drew,Drew Lock,Lock,10.63600006,5,7200,DEN@ATL,DEN,ATL,,,
51377-56250,WR,Terry,Terry McLaurin,McLaurin,13.07142857,7,7200,NYG@WAS,WAS,NYG,,,
51377-42028,WR,Will,Will Fuller V,Fuller V,13.5,7,7100,HOU@JAC,HOU,JAC,,,
51377-22038,QB,Kirk,Kirk Cousins,Cousins,16.12857165,7,7100,DET@MIN,MIN,DET,,,
51377-31001,WR,Amari,Amari Cooper,Cooper,12.51249981,8,7000,PIT@DAL,DAL,PIT,,,
51377-61798,QB,Gardner,Gardner Minshew II,Minshew II,19.41428484,7,7000,HOU@JAC,JAC,HOU,O,Thumb,
51377-63043,WR,DJ,DJ Moore,Moore,12.08749962,8,7000,CAR@KC,CAR,KC,,,
51377-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,12.76249981,8,7000,CAR@KC,KC,CAR,,,
51377-45859,QB,Derek,Derek Carr,Carr,18.41142927,7,7000,LV@LAC,LV,LAC,,,
51377-63519,QB,Daniel,Daniel Jones,Jones,13.90499973,8,6900,NYG@WAS,NYG,WAS,,,
51377-30447,RB,Todd,Todd Gurley II,Gurley II,14.41250038,8,6900,DEN@ATL,ATL,DEN,,,
51377-7968,QB,Philip,Philip Rivers,Rivers,15.45714242,7,6900,BAL@IND,IND,BAL,,,
51377-28643,WR,Allen,Allen Robinson II,Robinson II,13.25,8,6900,CHI@TEN,CHI,TEN,,,
51377-62497,RB,David,David Johnson,Johnson,12.18571472,7,6800,HOU@JAC,HOU,JAC,,,
51377-22027,QB,Nick,Nick Foles,Foles,14.55666606,6,6800,CHI@TEN,CHI,TEN,,,
51377-85671,WR,Justin,Justin Jefferson,Jefferson,13.11428615,7,6800,DET@MIN,MIN,DET,,,
51377-53095,QB,Kyle,Kyle Allen,Allen,14.50666682,3,6800,NYG@WAS,WAS,NYG,,,
51377-83081,RB,Chase,Chase Edmonds,Edmonds,10.11428615,7,6700,MIA@ARI,ARI,MIA,,,
51377-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,2.460000038,3,6700,MIA@ARI,MIA,ARI,,,
51377-52436,TE,Mark,Mark Andrews,Andrews,9.857142857,7,6600,BAL@IND,BAL,IND,,,
51377-28900,RB,Melvin,Melvin Gordon III,Gordon III,11.25714329,7,6600,DEN@ATL,DEN,ATL,,,
51377-26251,WR,Robby,Robby Anderson,Anderson,12.57499981,8,6600,CAR@KC,CAR,KC,,,
51377-14225,QB,Andy,Andy Dalton,Dalton,4.769999981,4,6600,PIT@DAL,DAL,PIT,IR,Illness,
51377-63469,QB,Ben,Ben DiNucci,DiNucci,2.320000013,3,6600,PIT@DAL,DAL,PIT,,,
51377-80001,RB,Austin,Austin Ekeler,Ekeler,10.74000015,5,6500,LV@LAC,LAC,LV,IR,Hamstring,
51377-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,10.58571407,7,6500,PIT@DAL,PIT,DAL,,,
51377-52929,QB,Jake,Jake Luton,Luton,0,2,6500,HOU@JAC,JAC,HOU,,,
51377-25410,QB,Mike,Mike Glennon,Glennon,0,2,6500,HOU@JAC,JAC,HOU,,,
51377-25011,TE,Darren,Darren Waller,Waller,10.81428528,7,6400,LV@LAC,LV,LAC,,,
51377-73183,QB,Dwayne,Dwayne Haskins Jr.,Haskins Jr.,11.11200027,5,6400,NYG@WAS,WAS,NYG,,,
51377-7659,QB,Ryan,Ryan Fitzpatrick,Fitzpatrick,21.06666692,6,6400,MIA@ARI,MIA,ARI,,,
51377-89675,RB,Jonathan,Jonathan Taylor,Taylor,11.85714286,7,6400,BAL@IND,IND,BAL,,,
51377-52917,WR,DJ,DJ Chark Jr.,Chark Jr.,10.01666641,6,6400,HOU@JAC,JAC,HOU,,,
51377-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,8.733333588,6,6400,CHI@TEN,CHI,TEN,O,Shoulder,
51377-14377,QB,Tyrod,Tyrod Taylor,Taylor,4.510000229,2,6300,LV@LAC,LAC,LV,,,
51377-73111,WR,Chase,Chase Claypool,Claypool,13.0142855,7,6300,PIT@DAL,PIT,DAL,,,
51377-32158,QB,Garrett,Garrett Gilbert,Gilbert,0,1,6300,PIT@DAL,DAL,PIT,,,
51377-33260,WR,DeVante,DeVante Parker,Parker,9.957142421,7,6300,MIA@ARI,MIA,ARI,,,
51377-90933,RB,Antonio,Antonio Gibson,Gibson,11.90000044,7,6200,NYG@WAS,WAS,NYG,,,
51377-8005,QB,Alex,Alex Smith,Smith,0.790000021,2,6200,NYG@WAS,WAS,NYG,,,
51377-39829,WR,Mike,Mike Williams,Williams,9.71666654,6,6200,LV@LAC,LAC,LV,,,
51377-30253,QB,Jeff,Jeff Driskel,Driskel,8.020000458,4,6100,DEN@ATL,DEN,ATL,,,
51377-22103,WR,Marvin,Marvin Jones Jr.,Jones Jr.,7.928571429,7,6100,DET@MIN,DET,MIN,,,
51377-61157,QB,Brett,Brett Rypien,Rypien,5.100000064,3,6100,DEN@ATL,DEN,ATL,,,
51377-29501,WR,Brandin,Brandin Cooks,Cooks,10.24285671,7,6100,HOU@JAC,HOU,JAC,,,
51377-29605,QB,Matt,Matt Barkley,Barkley,0.879999995,1,6100,SEA@BUF,BUF,SEA,,,
51377-71706,TE,T.J.,T.J. Hockenson,Hockenson,10.37142835,7,6000,DET@MIN,DET,MIN,,,
51377-24607,QB,Chad,Chad Kelly,Kelly,0,1,6000,BAL@IND,IND,BAL,,,
51377-71710,QB,Nate,Nate Stanley,Stanley,0,0,6000,DET@MIN,MIN,DET,,,
51377-30761,QB,Nathan,Nathan Peterman,Peterman,0,0,6000,LV@LAC,LV,LAC,,,
51377-69694,QB,Shea,Shea Patterson,Patterson,0,0,6000,CAR@KC,KC,CAR,,,
51377-30788,QB,Tyler,Tyler Bray,Bray,0,2,6000,CHI@TEN,CHI,TEN,,,
51377-52342,QB,Will,Will Grier,Grier,0,2,6000,CAR@KC,CAR,KC,,,
51377-71798,QB,Anthony,Anthony Gordon,Gordon,0,1,6000,SEA@BUF,SEA,BUF,,,
51377-39034,QB,Kurt,Kurt Benkert,Benkert,0,1,6000,DEN@ATL,ATL,DEN,,,
51377-63611,QB,Kyle,Kyle Shurmur,Shurmur,0,0,6000,CAR@KC,KC,CAR,,,
51377-69769,QB,Darius,Darius Bradwell,Bradwell,0,1,6000,LV@LAC,LAC,LV,,,
51377-57537,QB,DeShone,DeShone Kizer,Kizer,0,0,6000,LV@LAC,LV,LAC,,,
51377-45259,QB,Logan,Logan Woodside,Woodside,0,0,6000,CHI@TEN,TEN,CHI,,,
51377-29915,QB,Brett,Brett Hundley,Hundley,0,2,6000,MIA@ARI,ARI,MIA,,,
51377-130269,QB,Reid,Reid Sinnett,Sinnett,0,1,6000,MIA@ARI,MIA,ARI,,,
51377-54507,QB,Alex,Alex McGough,McGough,0,0,6000,HOU@JAC,HOU,JAC,,,
51377-61675,QB,Riley,Riley Neal,Neal,0,1,6000,DEN@ATL,DEN,ATL,,,
51377-11500,QB,Colt,Colt McCoy,McCoy,0,1,6000,NYG@WAS,NYG,WAS,,,
51377-30989,RB,Kenyan,Kenyan Drake,Drake,11.65714264,7,6000,MIA@ARI,ARI,MIA,O,Ankle,
51377-130337,QB,Case,Case Cookus,Cookus,0,1,6000,NYG@WAS,NYG,WAS,,,
51377-61751,QB,Josh,Josh Thomas,Thomas,0,0,6000,SEA@BUF,BUF,SEA,,,
