"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Pittsburgh Steelers",PIT,"at DAL","5 out of 5 stars","A+","8.8"
"2","New England Patriots",NE,"at NYJ","3 out of 5 stars","A","8.1"
"3","Washington Football Team",WAS,"vs. NYG","3 out of 5 stars","A","8.0"
"4","Houston Texans",HOU,"at JAC","3 out of 5 stars","A-","7.3"
"5","Kansas City Chiefs",KC,"vs. CAR","2 out of 5 stars","B+","6.8"
"6","Baltimore Ravens",BAL,"at IND","3 out of 5 stars","B+","6.7"
"7","Arizona Cardinals",ARI,"vs. MIA","3 out of 5 stars","B","6.5"
"8","Green Bay Packers",GB,"at SF","3 out of 5 stars","B","6.4"
"9","Tennessee Titans",TEN,"vs. CHI","3 out of 5 stars","B","6.4"
"10","New York Giants",NYG,"at WAS","5 out of 5 stars","B-","6.4"
"11","Tampa Bay Buccaneers",TB,"vs. NO","1 out of 5 stars","C+","6.3"
"12","Chicago Bears",CHI,"at TEN","1 out of 5 stars","C+","6.3"
"13","Indianapolis Colts",IND,"vs. BAL","4 out of 5 stars","C","6.2"
"14","Atlanta Falcons",ATL,"vs. DEN","5 out of 5 stars","C","6.2"
"15","Los Angeles Chargers",LAC,"vs. LV","2 out of 5 stars","C-","6.2"
"16","Seattle Seahawks",SEA,"at BUF","1 out of 5 stars","C-","6.0"
"17","Denver Broncos",DEN,"at ATL","2 out of 5 stars","C-","6.0"
"18","Miami Dolphins",MIA,"at ARI","3 out of 5 stars","D+","5.9"
"19","Minnesota Vikings",MIN,"vs. DET","3 out of 5 stars","D+","5.9"
"20","New Orleans Saints",NO,"at TB","4 out of 5 stars","D","5.8"
"21","Detroit Lions",DET,"at MIN","3 out of 5 stars","D","5.8"
"22","New York Jets",NYJ,"vs. NE","5 out of 5 stars","D-","5.7"
"23","Buffalo Bills",BUF,"vs. SEA","2 out of 5 stars","D-","5.4"
"24","Las Vegas Raiders",LV,"at LAC","1 out of 5 stars","F","5.4"
"25","San Francisco 49ers",SF,"vs. GB","1 out of 5 stars","F","5.4"
"26","Jacksonville Jaguars",JAC,"vs. HOU","1 out of 5 stars","F","5.1"
"27","Dallas Cowboys",DAL,"vs. PIT","1 out of 5 stars","F","5.0"
"28","Carolina Panthers",CAR,"at KC","1 out of 5 stars","F","4.7"
