"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Patrick Mahomes II",KC,"vs. CAR","1 out of 5 stars","A+","24.2"
"2","Russell Wilson",SEA,"at BUF","4 out of 5 stars","A","23.8"
"3","Deshaun Watson",HOU,"at JAC","5 out of 5 stars","A","23.2"
"4","Kyler Murray",ARI,"vs. MIA","2 out of 5 stars","A","22.7"
"5","Josh Allen",BUF,"vs. SEA","5 out of 5 stars","A","21.9"
"6","Justin Herbert",LAC,"vs. LV","3 out of 5 stars","A","21.2"
"7","Tom Brady",TB,"vs. NO","5 out of 5 stars","B+","20.6"
"8","Aaron Rodgers",GB,"at SF","3 out of 5 stars","B","19.9"
"9","Lamar Jackson",BAL,"at IND","2 out of 5 stars","B","19.4"
"10","Ben Roethlisberger",PIT,"at DAL","3 out of 5 stars","B-","19.1"
"11","Matt Ryan",ATL,"vs. DEN","4 out of 5 stars","B-","18.8"
"12","Ryan Tannehill",TEN,"vs. CHI","1 out of 5 stars","C+","18.5"
"13","Cam Newton",NE,"at NYJ","4 out of 5 stars","C+","18.2"
"14","Derek Carr",LV,"at LAC","5 out of 5 stars","C+","17.9"
"15","Drew Brees",NO,"at TB","1 out of 5 stars","C","17.5"
"16","Teddy Bridgewater",CAR,"at KC","2 out of 5 stars","C-","17.1"
"17","Drew Lock",DEN,"at ATL","5 out of 5 stars","C-","16.7"
"18","Kirk Cousins",MIN,"vs. DET","3 out of 5 stars","C-","16.2"
"19","Matthew Stafford",DET,"at MIN","4 out of 5 stars","D+","15.7"
"20","Daniel Jones",NYG,"at WAS","3 out of 5 stars","D","15.2"
"21","Tua Tagovailoa",MIA,"at ARI","4 out of 5 stars","D","14.8"
"22","Nick Foles",CHI,"at TEN","5 out of 5 stars","D","14.4"
"23","Nick Mullens",SF,"vs. GB","2 out of 5 stars","D-","14.1"
"24","Kyle Allen",WAS,"vs. NYG","4 out of 5 stars","F","13.8"
"25","Philip Rivers",IND,"vs. BAL","4 out of 5 stars","F","13.2"
"26","Jake Luton",JAC,"vs. HOU","4 out of 5 stars","F","12.2"
"27","Sam Darnold",NYJ,"vs. NE","1 out of 5 stars","F","11.2"
"28","Garrett Gilbert",DAL,"vs. PIT","1 out of 5 stars","F","9.9"
"29","Cooper Rush",DAL,"vs. PIT","1 out of 5 stars","F","8.6"
"30","Taysom Hill",NO,"at TB","1 out of 5 stars","F","7.4"
"31","Chase Daniel",DET,"at MIN","4 out of 5 stars","F","6.5"
"32","Jarrett Stidham",NE,"at NYJ","4 out of 5 stars","F","5.6"
"33","Mike Glennon",JAC,"vs. HOU","4 out of 5 stars","F","4.7"
"34","C.J. Beathard",SF,"vs. GB","2 out of 5 stars","F","1.0"
"35","Joe Flacco",NYJ,"vs. NE","1 out of 5 stars","F","1.0"
"36","Ben DiNucci",DAL,"vs. PIT","1 out of 5 stars","F","1.0"
"37","David Blough",DET,"at MIN","4 out of 5 stars","F","1.0"
"38","Brett Rypien",DEN,"at ATL","5 out of 5 stars","F","0.9"
"39","Alex Smith",WAS,"vs. NYG","4 out of 5 stars","F","0.9"
