"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Dalvin Cook",MIN,"vs. DET","5 out of 5 stars","A+","20.0"
"2","Alvin Kamara",NO,"at TB","2 out of 5 stars","A+","19.7"
"3","Derrick Henry",TEN,"vs. CHI","2 out of 5 stars","A+","19.1"
"4","Christian McCaffrey",CAR,"at KC","2 out of 5 stars","A","18.0"
"5","James Conner",PIT,"at DAL","4 out of 5 stars","A","16.8"
"6","James Robinson",JAC,"vs. HOU","5 out of 5 stars","A","16.6"
"7","Chase Edmonds",ARI,"vs. MIA","5 out of 5 stars","A","15.8"
"8","Josh Jacobs",LV,"at LAC","3 out of 5 stars","A","14.1"
"9","Clyde Edwards-Helaire",KC,"vs. CAR","5 out of 5 stars","A-","13.6"
"10","David Johnson",HOU,"at JAC","5 out of 5 stars","A-","13.6"
"11","Todd Gurley II",ATL,"vs. DEN","1 out of 5 stars","A-","13.3"
"12","Antonio Gibson",WAS,"vs. NYG","3 out of 5 stars","B+","13.2"
"13","David Montgomery",CHI,"at TEN","5 out of 5 stars","B+","13.1"
"14","Ezekiel Elliott",DAL,"vs. PIT","2 out of 5 stars","B","12.9"
"15","Aaron Jones",GB,"at SF","1 out of 5 stars","B+","12.6"
"16","Justin Jackson",LAC,"vs. LV","4 out of 5 stars","B","12.1"
"17","D'Andre Swift",DET,"at MIN","2 out of 5 stars","B","11.6"
"18","JaMycal Hasty",SF,"vs. GB","5 out of 5 stars","B","11.2"
"19","J.K. Dobbins",BAL,"at IND","1 out of 5 stars","B","10.8"
"20","Leonard Fournette",TB,"vs. NO","1 out of 5 stars","B-","10.5"
"21","Melvin Gordon III",DEN,"at ATL","2 out of 5 stars","B-","10.5"
"22","Damien Harris",NE,"at NYJ","4 out of 5 stars","B-","10.1"
"23","Jonathan Taylor",IND,"vs. BAL","1 out of 5 stars","C+","9.9"
"24","Jerick McKinnon",SF,"vs. GB","5 out of 5 stars","C+","9.3"
"25","Zack Moss",BUF,"vs. SEA","2 out of 5 stars","C+","9.0"
"26","Ronald Jones II",TB,"vs. NO","1 out of 5 stars","C+","8.7"
"27","Le'Veon Bell",KC,"vs. CAR","5 out of 5 stars","C","8.6"
"28","DeeJay Dallas",SEA,"at BUF","5 out of 5 stars","C+","8.5"
"29","Phillip Lindsay",DEN,"at ATL","2 out of 5 stars","C","7.8"
"30","Devin Singletary",BUF,"vs. SEA","2 out of 5 stars","C","7.4"
"31","Gus Edwards",BAL,"at IND","1 out of 5 stars","C","7.3"
"32","Joshua Kelley",LAC,"vs. LV","4 out of 5 stars","C","7.2"
"33","Wayne Gallman",NYG,"at WAS","2 out of 5 stars","C-","7.1"
"34","Lamical Perine",NYJ,"vs. NE","4 out of 5 stars","C","6.9"
"35","James White",NE,"at NYJ","4 out of 5 stars","C-","6.7"
"36","J.D. McKissic",WAS,"vs. NYG","3 out of 5 stars","C-","6.6"
"37","Jordan Wilkins",IND,"vs. BAL","1 out of 5 stars","C-","6.6"
"38","Nyheim Hines",IND,"vs. BAL","1 out of 5 stars","C-","6.6"
"39","Adrian Peterson",DET,"at MIN","2 out of 5 stars","D+","6.5"
"40","Latavius Murray",NO,"at TB","2 out of 5 stars","D","6.5"
"41","Tyler Ervin",GB,"at SF","1 out of 5 stars","D","6.4"
"42","Jordan Howard",MIA,"at ARI","3 out of 5 stars","D","6.3"
"43","Brian Hill",ATL,"vs. DEN","1 out of 5 stars","D","6.0"
"44","Mike Davis",CAR,"at KC","2 out of 5 stars","D","5.9"
"45","Rex Burkhead",NE,"at NYJ","4 out of 5 stars","D-","5.5"
"46","Frank Gore",NYJ,"vs. NE","4 out of 5 stars","D-","5.3"
"47","Dexter Williams",GB,"at SF","1 out of 5 stars","D-","5.2"
"48","Tony Pollard",DAL,"vs. PIT","2 out of 5 stars","F","5.2"
"49","Alexander Mattison",MIN,"vs. DET","5 out of 5 stars","F","4.9"
"50","Duke Johnson Jr.",HOU,"at JAC","5 out of 5 stars","F","4.9"
"51","Benny Snell Jr.",PIT,"at DAL","4 out of 5 stars","F","4.8"
"52","Travis Homer",SEA,"at BUF","5 out of 5 stars","F","4.7"
"53","Kerryon Johnson",DET,"at MIN","2 out of 5 stars","F","4.5"
"54","Eno Benjamin",ARI,"vs. MIA","5 out of 5 stars","F","4.4"
"55","Jeremy McNichols",TEN,"vs. CHI","2 out of 5 stars","F","4.3"
"56","Devontae Booker",LV,"at LAC","3 out of 5 stars","F","4.3"
"57","Dion Lewis",NYG,"at WAS","2 out of 5 stars","F","3.9"
"58","Jalen Richard",LV,"at LAC","3 out of 5 stars","F","3.9"
"59","Patrick Laird",MIA,"at ARI","3 out of 5 stars","F","3.9"
"60","Kyle Juszczyk",SF,"vs. GB","5 out of 5 stars","F","3.7"
"61","Chris Thompson",JAC,"vs. HOU","5 out of 5 stars","F","3.1"
"62","Alfred Morris",NYG,"at WAS","2 out of 5 stars","F","3.1"
"63","Troymaine Pope",LAC,"vs. LV","4 out of 5 stars","F","2.9"
