"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Davante Adams",GB,"at SF","3 out of 5 stars","A+","19.0"
"2","DeAndre Hopkins",ARI,"vs. MIA","3 out of 5 stars","A+","17.0"
"3","Julio Jones",ATL,"vs. DEN","3 out of 5 stars","A+","17.0"
"4","Stefon Diggs",BUF,"vs. SEA","5 out of 5 stars","A+","16.0"
"5","Tyreek Hill",KC,"vs. CAR","1 out of 5 stars","A+","16.0"
"6","D.K. Metcalf",SEA,"at BUF","1 out of 5 stars","A","15.2"
"7","Tyler Lockett",SEA,"at BUF","1 out of 5 stars","A","14.7"
"8","Keenan Allen",LAC,"vs. LV","3 out of 5 stars","A","14.7"
"9","Adam Thielen",MIN,"vs. DET","4 out of 5 stars","A","14.6"
"10","Terry McLaurin",WAS,"vs. NYG","4 out of 5 stars","A","14.4"
"11","Allen Robinson II",CHI,"at TEN","5 out of 5 stars","A","14.2"
"12","Will Fuller V",HOU,"at JAC","4 out of 5 stars","A","13.6"
"13","A.J. Brown",TEN,"vs. CHI","1 out of 5 stars","A","13.3"
"14","Robby Anderson",CAR,"at KC","1 out of 5 stars","A","12.8"
"15","Justin Jefferson",MIN,"vs. DET","4 out of 5 stars","A","12.7"
"16","Mike Evans",TB,"vs. NO","4 out of 5 stars","A-","12.2"
"17","D.J. Moore",CAR,"at KC","1 out of 5 stars","A-","12.2"
"18","Chase Claypool",PIT,"at DAL","4 out of 5 stars","A-","12.1"
"19","Brandin Cooks",HOU,"at JAC","4 out of 5 stars","A-","12.0"
"20","JuJu Smith-Schuster",PIT,"at DAL","4 out of 5 stars","B+","11.9"
"21","Marquise Brown",BAL,"at IND","4 out of 5 stars","B+","11.5"
"22","Michael Thomas",NO,"at TB","3 out of 5 stars","A-","11.3"
"23","Diontae Johnson",PIT,"at DAL","4 out of 5 stars","B+","11.2"
"24","Mike Williams",LAC,"vs. LV","3 out of 5 stars","B","11.2"
"25","Marvin Jones Jr.",DET,"at MIN","5 out of 5 stars","B","10.9"
"26","D.J. Chark Jr.",JAC,"vs. HOU","5 out of 5 stars","B","10.8"
"27","Amari Cooper",DAL,"vs. PIT","5 out of 5 stars","B","10.6"
"28","DeVante Parker",MIA,"at ARI","3 out of 5 stars","B","10.2"
"29","Jerry Jeudy",DEN,"at ATL","5 out of 5 stars","B-","10.2"
"30","Corey Davis",TEN,"vs. CHI","1 out of 5 stars","B-","10.1"
"31","Darius Slayton",NYG,"at WAS","1 out of 5 stars","B-","10.1"
"32","Antonio Brown",TB,"vs. NO","4 out of 5 stars","B-","9.9"
"33","Christian Kirk",ARI,"vs. MIA","3 out of 5 stars","C+","9.5"
"34","Cole Beasley",BUF,"vs. SEA","5 out of 5 stars","C+","9.5"
"35","Sterling Shepard",NYG,"at WAS","1 out of 5 stars","C+","9.3"
"36","John Brown",BUF,"vs. SEA","5 out of 5 stars","C+","9.1"
"37","CeeDee Lamb",DAL,"vs. PIT","5 out of 5 stars","C+","8.9"
"38","Mecole Hardman",KC,"vs. CAR","1 out of 5 stars","C+","8.9"
"39","Henry Ruggs III",LV,"at LAC","3 out of 5 stars","C+","8.8"
"40","Laviska Shenault Jr.",JAC,"vs. HOU","5 out of 5 stars","C","8.7"
"41","Curtis Samuel",CAR,"at KC","1 out of 5 stars","C","8.7"
"42","Jakobi Meyers",NE,"at NYJ","4 out of 5 stars","C","8.7"
"43","Darnell Mooney",CHI,"at TEN","5 out of 5 stars","C","8.6"
"44","Russell Gage",ATL,"vs. DEN","3 out of 5 stars","C","8.6"
"45","Michael Gallup",DAL,"vs. PIT","5 out of 5 stars","C","8.0"
"46","Randall Cobb",HOU,"at JAC","4 out of 5 stars","C","8.0"
"47","Preston Williams",MIA,"at ARI","3 out of 5 stars","C","8.0"
"48","Keelan Cole Sr.",JAC,"vs. HOU","5 out of 5 stars","C","7.9"
"49","Denzel Mims",NYJ,"vs. NE","2 out of 5 stars","C-","7.5"
"50","Trent Taylor",SF,"vs. GB","2 out of 5 stars","C","7.4"
"51","Nelson Agholor",LV,"at LAC","3 out of 5 stars","C-","7.4"
"52","Anthony Miller",CHI,"at TEN","5 out of 5 stars","C-","7.2"
"53","Zach Pascal",IND,"vs. BAL","2 out of 5 stars","C-","7.2"
